text;label
youd think paying an extra bucks rt for luggage might afford you hiring an extra hand at lame;0
best customer service rep in the world irmafromdallas takes the cake;2
can you find us a flt out of lax that is sooner than midnight on monday that would be great customer service;1
please provide status for flight i cant imagine its on time as the web indicates dude to weather here andor dallas;0
you have amazing staff amp;2
i paid the premium to fly you across the country you cancelled flight my flight and offer no check fee or upgrade love sad face;0
question is it not possible to book a seat for an infant under its not giving me the option but we want a seat for him;0
always have it together youre welcome rt youre so welcome;2
flight home to dc sunset globe in backtowinter back to work refreshed;2
i dont understand why you need a dm to give me an answer on if you have a damaged luggage policy;0
does that mean you dont have a policy for destroyed luggage;0
is there special assistance if i travel alone w kids and infant priority boarding;1
thank you for checking in tickets are purchased and customer is happy;2
is your website ever coming back online;1
is flight from love field to sfo definitely cancelled flightled for monday february;1
is flight out of lga to dfw on time;1
my drivers license is expired by a little over a month can i fly friday morning using my expired license;1
having problems flight booking problems on the web site keeps giving me an error and to contact by phone phone is minute wait;0
how do i reschedule my cancelled flightled flights online the change button is greyed out;0
i rang but there is a wait for minutes i can book the same ticket through a vendor fix your site;0
got a flight we were told for todaychecked my email and its for;0
our flight into lga was cancelled flighted were stuck in dallas i called to reschedule told i could get a flight for today;0
why dont any of the pairings include red wine only white is offered redwineisbetter;0
is the website down;0
your site seems a little wonked right now may want to have a look tried on two browsers no css;0
im disappointed that the agent at the designated silver status check in line closed to assist all pasengers;0
plans to include austin to its dallas route topnews arab emirates;1
is it normal to receive no reply from central baggage baggageissues smh;0
at logan airport and waiting to checkin for my am flight checkin desk not open why;0
to jump into the dallasaustin market;1
beats eps views takes on southwestair va luv investors business daily;1
lister to my show my on monday;1
to begin dallasaustin flights in april ketr;1
congrats you just got all my business from ewr to sfolax fuck you fl sfoewr was the clincher;0
i applied over weeks ago havent heard back and im flying this week disappointed;0
id love to know what your policy is for damaged luggage;1
thank you for the follow;2
too many apologies you r the worse airlines dont even respond to your cudtomers;0
shame on va for making people spend money in stranded cities when other airlines are landing at jfk who will reimburse me;0
i dm you;1
can you please have flights in sjc i have no choice but to fly southwest to vegas;1
too bad you say it takes to days via your confirmation email when i inquired after weeks you claim to weeks;0
flight from bos gt;0
rt youve met your match got status on another airline upgrade restr;2
only way to fly elevate gold;2
if only you guys had flights from cmh;1
a lot of apologies being thrown out to customers from what i can seevery sad thanks for nothing worst airline ever;0
for all my flight stuff wrong and did nothing about it had worst flight ever;0
having an issue finding a missing item on a plane can you help me find which airport my plane headed to next;1
you will match my americanairlines status cool;2
youve met your matchgot status on another airline upgrade;1
trying to book a flight with you guys and your website wont let me about to lose my business;0
you suck;0
thanks;2
just dmd same issue persisting;0
because we never recd cancelled flightlation notice we were left w no options to fly out of ps driving to la for a red eye mon w kids;0
trying to book a flight amp;0
you have any flights flying into boston tomorrow i need to be home and you cancelled flightled my flight and didnt do anything;0
you stink flight cancelled flighted from psp to jfk and no notification or ability to rebook disappointed expected better;0
i love your guys song were dancing to it for our high school dance revue;2
your website is down and im trying to check in;0
done thank you for the quick response apparently faster than sitting on hold;2
nervous about my flight from dc to lax getting cancelled flightled tomorrow just sent you a dm to help me;1
cool picture of another virginamerica plane off our wing what a site;2
keep up the great work;2
my goodness your people field are amazing under pressure from texas beatstheothers in crisis please fly me to ny;2
thanks for a great flight from la to boston pilots did a great job landing in the snow can we go back to la now seriously;2
can you please get me to the new york area before monday afternoon;1
thanks so much for the awesome support you guys rock;2
seats in row dont recline should mention that on your website soreback;0
flight delayed hours in la due to mechanical problems handle like pros but you could have tossed us a free drink;0
why cancelled flight flights today no precipitation to be scared of;0
twitter team you guys killed it for rescheduling me asap thank you;2
you guys charged me to reschedule a flight that was then cancelled flighted and are now refusing to refund it whats the deal;0
cant access your website from safari on iphone seems to work on mac and ipad need iphone to add passbook;0
on ipad and iphone clicking the checkin link in the email i received at hrs before flight;1
your mobile site is broken shows;0
i was really looking forward to my flight can you let me know when it will be rescheduled diehardvirgin;0
why cancelled flight flight vx one sec its delayed on my to airport the next its cancelled flightledgonna email or call me to reschedule;0
i did it but there was a problem in the link from the email for checkin thanks;0
had to change to another airline to get to dc today why is able to land in dc but not you cost me ugh;0
i was so looking forward to my first flight with you today but it was cancelled flightled along with the subsequent one;0
when are you putting some great deals from pdx to las or from las to pdx show me your love;2
wish i can afford to fly with you next friday going back home love everything about your airline;2
how are you gonna have a deal from dallas to dc but no deal from dc to dallas sad;0
its just a bug report guys;1
hold times at call center are a bit much;0
like;2
site down help;0
you have the best flight attendant ever;2
awesome rt watch nominated films at feet meetthefleet oscars;2
thanks so much;2
trying to reset my password email never arrives help;0
the only airline based in silicon valley disruption fcmostinnovative incubator s;2
very nicely done;2
im looking forward to watching the oscars on my flight home tomorrow i might even get something bubbly to drink;2
what is the reason for the delay of the departure of vx from jfk this afternoon;0
is todays flight from palm springs ca to jfk in ny cancelled flightled;0
hahaha you guys are amazing i love you guys;2
sounds like fun;2
any updates on flight from jfk gt;1
spruce moose;1
the css on your site is a right now please fix site unusable;0
were on flight vegas to boston today checked in online but our bag count didnt register can i fix that somehow;0
classiq luv virgin america greetingz;2
hi im trying to do checkin but the website is not working i tried different browsers and the problem continues;0
thanks for your great customer service today amp;2
thanks guys sweet route over the rockies airplanemodewason;2
love the s music blasting at gate in boston while waiting for flight to sanfrancisco only if i could get an iced coffee;2
the passenger in d flt that assaulted me shouldnt have flown i trust hes banned crew filed report to;0
current bug on website shows select departure city when selecting destination city;0
luggage was severely dentedmissing wheel coming off baggage claim in san luggage agent miranda i think wasnt any help;0
thank you for the easy itinerary shift for impending weather quick painless amp;2
if youd love to see more girls be inspired to become pilots rt our free woaw event march at abq;1
thanks good times there and back vodkatonics the entire flightsfo;2
beats expectations shares take off santa cruz sentinel;1
any plans to start flying direct from dal to las;1
big lovegratitudempower w werin oscars vipswagbags avalonhollywood;1
youre doing a great job adding little luxuriesaesthetics that improve the air travel experience thank you keep it up;2
requested window seat and confirmed window but got stuck in middle seat not a good way to treat silver member;0
grand budapest hotel oscarscountdown;1
this is what you missed next trip to the;1
wtf i paid for direct flight on purpose not to have to stop for fuel exhausted frequent flier and nothing for inconvenience;0
there is something wrong with you website in safari iphone;0
thanks for gate checking my baggage on your full flight dfwlax and giving me early boarding too sweet;2
already checked in so the page expired x;0
boo for a not refunding a seat upgrade fee i did not want to buy in the first place;0
shares rise on q financial results usa today;1
adds pillows instead of lieflat seats in first class arms race;1
i see what you did there;2
way to take advantage of mayweatherpacquiao;1
you know im flying virgin for the fight mayweatherpacquiao;1
your inflight team makes the experience amazing;2
cutest salt and pepper shaker ever just when i think you guys cant get any better you just do;2
moved my seat with no notice better seat is cabin select not behind the row i selected disappointed;0
shares up on q results;1
fav airline;2
we have a hot female pilot sweet dca to sfo;2
when are you guys going to start flying to paris youre welcome;1
what is your policy on flying after surgery i am still waiting for answer so i can tell me doctor;1
already contacted central baggage amp;0
thank you;2
is there anything going on with the website ive been getting a lot of errors past minutes;0
i think i left something on the plane yesterday who do i callah;1
i need you to follow back in order to dm;1
need to start flying to;1
they told to check with the airline regulation first so that is why i contacted you;1
i have just checked in flight to sfo from lax amp;0
husband and i ordered three drinks via my screen and they never came awesome;0
soooo are you guys going to leave the seatbelt light on all flight you can barely call this turbulence;0
what is your policy on flying after surgery;1
posts second consecutive fullyear net profit;1
funny story your website is broken you have missing javascript and stylesheets on the checkin process i dislike this;0
would love to do more for virgin just like i do for;2
results handily exceed forecasts;1
i applied for a position in and i was wondering if you guys received my application;1
achieves a second year of profitability despite revenue pressure;1
gives positive outlook but sees increased competition;1
im trying to check into my am ct flight tmm on the desktop website and its not working some sort of caching bug sos;0
weather delays gt;1
check the website before you go to the airport;1
do you guys know your checkin links from emails are broken;0
pilot says we expect a choppy landing in nyc due to some gusty winds wa temperature of about degrees amp;1
loved it cant wait for mondays return flight mostly just to watch the inflight safety video again sorrynotsorry;2
lost my luggage days ago on flight vx from lax to iad amp;0
the flight booking problems section of your website seems to be broken on chrome might wanna look into that;0
hi just wanted to see if you have any new routes planned this year for newark love flying you guys and hope to do so more;2
i mean probably inappropriate while on board but its on;2
happy to spend the day together lets do this;2
is saving my sanity right now;1
missed my flight how does standby work;1
they were very understanding and helped me out thx comps;2
brought it all the way across the country today i see;1
thank you i absolutely will;2
looks like a broken link for your assets;0
are you ready lets say it together noooo turbulence today;1
the manage itinerary section of your website seems to be broken for me;0
cant check in your site looks like this every time it loads;0
can u help this needs urgent treatment iny old battling cancer could u help with flights freyasfund;1
may start service to hawaii from sanfrancisco this year biztravel;1
other carriers are less than half price for a round trip fare i am stunned;0
wtf is happening in pdx late flight march such that one way from sfo is;0
add dtw and im sold;1
how about some free drinks on the flight back for the free promo;2
thanks;2
momma i made it;1
please contact me about portfolio left on flight vx from jfk to sfo tonite seat am need it returned call;1
help i was on flight from jkf tonight seat c left portfolio need it back;1
seattle bound wifey got me the duffle for vday shes a keeper holla;1
my luggage is gone ive filed my paperwork promised a callemail still no resolution or response from central luggage;0
debbie baldwin gave a rockstar performance of the safety demo this evening on vx lassfo bestcrew sherocks;1
thanks;2
thanks for taking care of on her flight rockstars travel;2
thanks for the lovely soft views travel san to sfo;2
i requested a mileage challenge for status several weeks ago online but havent heard back how do i get help with this;0
just trying to book tickets to nyc and facing super fun broken styling dont worry ill keep trying;0
many thanks for the follow;1
nice lofty view silverstatus;1
applied for status match on feb got confirmation email same day still no news though you guys have dropped ball late flightly;0
is my new go to airline;1
0;1
i adore you and am so looking forward to my flight to austin in two weeks;2
i was so glad it was mentioned i took my first virgin flight a few years back and it was a transformative experience;2
flight booking problems flight to uphold my status match do taxes on ticket count as earned status points statusmatch virginamerica;1
trying to checkinbut looks like your site is down;0
spending my birthday night with you daldca get me home;0
sent a couple messages to the email you provided but to no avail will try again next year cheers;0
first time flying virgin went to sanfrancisco thanks for the smooth ride easily my new fav airline;2
seriously though will there not be direct flights from sfofll in may;0
its fine already done with my purchase but you should try it just go most of the way through then go back;0
not really the experience i was hoping i ws forced check in a small carry on w nothing but empty cabin space on board;0
0;
to jump into the dallas austin market;1
i spoke with a representative that offered no solution i am a loyal customer who flies on as well;0
i am deeply disappointed that your birthday promo was not applied to a trip i booked mere days before i received the email;0
what happened to direct flights from sfofll looking in may only see connecting help dontdothistome;0
can you help left my blazer in kooples jacket bag at rd row second seat from right gate t lax flight to sfo;1
partners with checkout as mobile payment method to help boost mobile conversion rates etailwest payments visa;1
just promoting the product is all had a problem with southwest and recommend noneother than the best;2
love you guys but pls get some direct routes las to aus;2
i would like help with some flights please;1
bruh turn down for what vxsafetydance;1
of course i work for and im obsessed with the entire virgin family;2
ok first time flying with you tonight;2
digging the swanky pink mood lighting during the flight from nyc to sfo just needs a cabaret singer think about it;1
done but i need the receipt asap could you please help;1
i have d and d embossed badges and patches superior to the ones you are currently using;0
on vx from jfk to la dirty plane not up to your standards;0
on flight vx headed to la from jfk dirtiest va plane i have ever been on sad for a great airline;0
got it squared away someone picked up as soon as i tweeted should have tweeted sooner;2
your avis rental continue button doesnt work on your website to book car tried times on phone this sucks;0
delayed to;0
currently in minute of being on hold with cust service do i need to do anything to add a lap child to my reservation;0
adds pillows instead of lieflat seats in first class arms race;1
of course have fun celebrating thanks happy chinese new year;2
flight booking problems last second flight for next week from sfo to san any chance you want to gift me a promo code since i love you guys;2
comenity bank is a joke please change nothing but constant problems with this bank;0
i just did how can i dm do u have to also add me;1
for my grandma ellas th she would lt;2
just bought tix for atx dallas route thanks for adding that love yr airline amp;2
anytime sugafly;1
gave a credit for my late flight flight yesterday great service thats a wow moment unexpected gesture;2
i need a receipt for a flight change can you send one;1
i submitted a status match request a while back and still havent heard im flying on monday can you look accelerate;0
had me at their safety video loved my first cross country flight livewelltraveled sytycd;2
that doesnt look to fat to me it looks yummy;2
ceo says southwest amp;1
a brilliant brisk am in boston in cue for vx;1
atlantic ploughs a lone furrow in the middleeast;1
atlantic ploughs a lone furrow in the middleeast;1
atlantic ploughs a lone furrow in the middleeast;1
omg omg nonstop dallas to austin on virgin;2
your planes are really pretty just thought u should know that;2
when are you flying to hawaii;1
im pulling my hair out trying to book a flight with u your site doesnt work on iphone or ipaddont have a computer help;0
thank you;2
can i get some help with a support ticket its been days incident thank you;0
good to be home texas moodlighting;2
i cannot even open my laptop in seat c and i paid a premium for this let me out of here;0
i am in seat c and i cannot even open my laptop;0
if only you guys were starting those flights at the end of the month guess im still road tripping on feb;1
thanks for that been needing a way to make those austin trips from dca and now youve come through;2
announced new route to austin wfares from way;1
really sprint i thought you guys were kewl;1
this is too cool never been on ur planes but now i will;2
you should have dollar laxlas fares;1
great well deserved;2
fyi the infocom email address you say to contact in password reset emails doesnt exist emails bounce;0
status match weeks have gone by and no newsflt next week hope flt will count towards requirement cust svc no help;0
your website sucks donkey dicks just thought you should know all best;0
you should still develop an app then you will be my favorite airline;1
all crap channels which is why i pay to watch uk tv;0
got it all set thanks;2
no as channel this year;1
only thing i see on passbook is virgin mobile mexico how do i integrate;1
giants and virgin america a match made in heaven;2
thank goodness also see you friday nwkgt;2
how come you dont have an iphone app still using and making me waste paper;0
your back of seat entertainment system does not accept credit cards that have an apostrophe in the surname apostrophefail;0
when will vx use all lga slots instead of today adding aus makes this less likely;0
is helping me step up my game tindertips tinderchamp;1
i luv ur people and product thing is y do u charge for herbal tea but not black tea im not a caffeine drinker;2
thank you see yall soon im excited to see the expansion of destinations spread those wings;2
announces new nonstop connecting amp;1
adds austindallas love field route;1
sad to learn you no longer fly sfo gt;0
can you tweet me the cancelled flightchng fee for a flight or can i rebook under one of your affiliates if so who are afiliates;1
has the most incredible customer service ive ever experienced so refreshing;2
now when will we see virginamerica come to philadelphia phl;1
am i dreaming did you really just open up a route between dallas and austin and does this mean houston might be next;2
omg finally;2
to start xweekly a flights from to dallas austin on apr avgeek;1
nice to see you expanding in texas but dont forget about us here in sandiego i would love to see more flights out of here;1
kinda sucked my earphone jack didnt work on my flight they may want to look into that for future passengers;0
very poor experience first computer problem now seat malfunction stuck missing meeting in san diego;0
to battle on route;1
thankyou the dalaus route makes my day;2
awesome deals dalaus for only each way;2
i miss the nerdbird in san jose;1
is flying from love to austin now that is most excellent news;2
can we make every vx plane with nerdbird why should austin be the only one getting nerd love;1
please add more frequency to pdx portland;1
congrats vx on the new route;2
i tried that you offered to charge me an additional k for a new ticket or be stranded until thurs st time last time;0
can u help with flights to get a y old battling cancer who needs treatment in;1
never had a bad experience before but this one took the cake now extortion for carry on items as well;0
had to spend hours worrying that items in carryon would be brokenstolen since i couldnt carry them on plane or lock bag;0
all of group e was told there was no more room in the bins when i got on the plane was room for at least bags in my row;0
thanks for making my flight from lax to jfk a nightmare by forcing me to check my carry on bag at the gate;0
i have lots of flights to book and your site it not working ive been on the phone waiting for over minutes;0
i am all about the in flight artisanal cheese and wine pairing;2
does virgin america fly direct from seattle to nyc or boston;1
thats classy;2
im sure a lot of your and jfklhr flights go a lot faster than mph with a strong tailwind;2
now its just tminus minutes until my elevate a silver upgrade window opens freeneversucks;2
save some for tomorrow am;1
why is it taking years to fly home to dallas get your shit together;0
club virgin is bumping in new york;1
would have been a rough trip but luckily we were on a virginamerica flight weather;2
is that thestarter;1
please come to minneapolis st paul;1
yes fyi my bff;1
another perfect flight how come on your planes the sun visors can stay down other carriers make you raise them;2
nice rt the man of steel might be faster but we have wifi just saying sciencebehindtheexperience;2
i love the dancing little richard cool beans;2
i dont use passbook i still love you though lt;2
thanks for the free birthday points yall are all right with me;2
do you have an application for ios was looking and only saw virgin mexico lt;1
man of steel flies to more cities thoughand with more frequency too;0
thanks so much for sharing just added it to my site;2
good point;1
i heard he has a virgin mobile hotspot;1
you got cheese plate flights too;1
on all your flights;1
dad on segway is the best part of this whole infographic;2
are there any plans for a short haul airline in europe would defiantly fly with you guys;2
wifi and better seating;2
how come abc is the only one of the network channels you dont have;1
started my flight with a scolding for using an overhead bin that was then offered to the person seated next to me;0
not only was it great but you return my calls the day after couldnt ask for more myvxexperience;2
while other airlines werent cancelled flighting flights into bos and helping their customers get home virgin was saying good luck;0
dear virgin customer while youre stranded in sf for days amp;1
should use this in their next airline commercial lol;1
grouping virgin in with the others now bos weather has exposed their actual cus serv model never flight booking problems with virgin again;0
as one of the travelers affected by the boston storm im shocked at virgins complete apathy toward their customers;0
umm so no reason as to why this is is there someone different i should contact or contact me to get a definitive answer;0
trying to make the change in advance not just hours priortried it online earlier and it wanted in change fees;0
so loyal that im driving to nyc from pa to fly virgin since you cut philly flights;2
any way to change from main cabin to main cabin select on same flight without paying a change fee penalty;1
you guys are perfect as always lt;2
thanks yall have some of the best customer service left in the industry;2
can you give me silver status for months;1
really wish youd fly out of fargo those fares are amazings;2
mood lighting on point reclining my seat kickin up my feet;0
my flight scheduled for pm departure still says on time but no plane at gate any update on how long of a delay;0
my group got their cancelled flightlation fees waived but i cant because my ticket is booked for your reps were no help either;0
are there any sign up bonuses to enroll in elevate;1
just got on the pm in newark home to la your folks at ewr are incredible letsgohome;2
morning if i have a question regarding elevate points amp;1
still waiting to see;1
was wondering if you guys recieved my dm and were able to potentially respond asap;1
flying lax to sfo and after looking at the awesome movie lineup i actually wish i was on a long haul;2
book out of town with fares from way restr;1
thanks;2
thanks for taking care of that mr happy customer;2
still no refund or word via dm please resolve this issue as your cancelled flightled flight was useless to my assistants trip;0
delayed due to lack of crew and now delayed again because theres a long line for deicing still need to improve service united;0
thanks we filled it out hows our luck with this is it common;2
your eriord express connections are hugely popular now if only we could have an eriewr hop;0
even on international flight glasgow to the us then what about orlando to newark all mins;1
you think you boarded flight au too early i think so;0
i understand but its tough when there is no way to get to the airport wo serious risk of an accident its a steep price;1
gate agent hooked me up with alternate flights if you have a way to prevent the constant issues that would rock;0
flying glamco in a few weeks how long do we have to be at airport for before departure for both international and domestic ta;1
thanks;2
thanks it is on the same ticket;2
why not is it a law or a policy;1
is the worst nonrefundable first class tickets oh because when you select globalfc their system auto selects economy wupgrade;0
so i can buy tix days before flight but cant transfer the tix flawed security logic flawed customer service;0
i did start a claim but weeks is unrealistic am i really supposed to go that long with out a car seat for my childridiculous;0
follow me please this airline is beautifull;2
no i dont but im sure united have my info on its system;1
if the car seat is lost should just reimburse me for a new one this is not a pair of shoes its a necessity for my child;0
just submitted my response on the link you sent;1
yes david allan send an email with this number kmmvlkm and case;1
that totally sucks my cousin worked at phl said;0
just wanted to let you know how wonderful rosetta the gate agent was working flight dan to ase let her know she wasappreciated;2
yes a paper voucher that i got on january th;1
beginning of feb i called united they said they would send another voucher by mail never got anything tiredofwaiting;0
the internet is a great thing i am emailing executives in your company maybe they will respond to me in a timely manner;0
do i need to use a chase united club pass for my yr old son or can he come in with me on my pass;1
and what am i suppose to do with that number;1
thats weak see ya;0
i flew back w other company since united didnt have an earlier flight;0
i lost a voucher that i was given in miami aeroport on jan i did not use it;1
i am trying to book awards for september and need flights on but they will not show even w many award seats availab;0
i sure did i had to drive a total of hours to get my own bag id like to explain that debacle but no one wants to talk to me;0
gee thats like almost caring about ppl more than think im more int in having a trusted adult w daughter;1
see we were told repeatedly that the pilot was late flight and kept getting late flightr after we boarded there was a defibrillator issue;0
why no preferred security line anymore my tsa precheck didnt pull on my partner flight platinum spoiled;0
newarkliberty airport need to indicate different gates for terminals aamp;0
yes please i am newly married and trying to update my last name on a preexisting international flight it seems so easy but;0
how does united refuse to reissue a lost voucher when their plane didnt take off due to mechanics badcustomerservice;0
also during the run i was instructed to do i shattered my computer;0
yes weve been with the agents for the last minutes one of the agents have been very rude but thankfully ladan has been nice;0
thats right with an overnight miami;1
have clients with an hr layover at iah during the day will they have to claim amp;1
i am trying to find out if the loaner seat is new or used a used car seat is illegal according to safety regulations;1
i dmed you the details;1
iah to charlotte baggage claim rep latrice h customerservice non existent ignored customer then inappropriately touched customer;0
kewl will also let them know the overhead bin over my row was inop i love a good abbreve;1
thanks for your helpgot me what i need but its an issue with i guess i sit awhile longer;2
i would have loved to respond to your website until i saw the really long form in business the new seats are bad;0
a refund and flight vouchers or another flight on a different airline at your expense for today hour drive is very inconvenient;0
then why have i not received my call back its been daysits an infant car seat how am i supposed to go anywhere with my child;0
thanks again for your concern i will contact customer care upon our return from australia;1
well sitting on the ground on time but waiting for a gateagain tiredofthis;0
airport snow removal method;2
no i need you guys to not over book planes its not a concern ill just travel with someone else moving forward;0
a measly ecertificate is not how you appreciate loyal customers after they wait hrs on the tarmac during ua unacceptable;0
when will email addressusername signon be available its been a while;0
thank you for that am i able to claim any interim expenses or is the cost of the stuff up on me;2
rude rude;0
why cant i get a boarding pass for my austrian airlines codeshare flight rebook incls a hour layover amp;0
i received on other flights united truly breaks guitars unitedbreaksguitars wantmymoneyback;0
just flew to telaviv paid from a third suitcase which didnt even make it on the plane besides for the impolite service;0
my bag is still in colo springs i am disabled and have to search an unfamiliar airport and look for my bag not a good outcome;0
shame that theres no flex to tickets transfer rules even calling from neurosurgery icu isnt enough;0
no denver said they dont handle baggage that made it to colo springs they gave me an number to call no help there either;0
